key,source,raw_name,inci_name,cas_number,derived_term,derived_variation,derived_physical_form,ingredient_category,definition_display_name,cluster_id,cluster_reason,cluster_size,cosing_items_in_cluster,tgsc_items_in_cluster,sources_in_cluster
002bc1a64ced1e16b1e6843ab8f502ab7adb06bc,tgsc,"arachis hypogaea fruit extract,",,8002-03-7,Arachis hypogaea,Fruit Extract,Liquid,Herbs,Peanut,term:arachis hypogaea,post_merge_term_cluster,1,1,0,cosing
f91bbf42eec173ee478bc8e8e5cc7de2bb780082,tgsc,"arachis hypogaea oil CO2 extract,",,8002-03-7,Arachis hypogaea,CO2 Extract,Liquid,Herbs,Peanut,term:arachis hypogaea,post_merge_term_cluster,1,1,0,cosing
2dc5313140148000200067039fb5858a189c1fe0,tgsc,artocarpus altilis flour,,,Artocarpus altilis,Flour,Powder,Grains,Artocarpus altilis,term:artocarpus altilis,post_merge_term_cluster,1,0,1,tgsc
3f5008794953a40d51527159dada2170e707c326,cosing,AVENA SATIVA KERNEL EXTRACT,AVENA SATIVA KERNEL EXTRACT,84012-26-0,Avena sativa,Kernel Extract,Liquid,Herbs,Oat,term:avena sativa kernel,post_merge_term_cluster,1,1,0,cosing
20eeb12f1c56868c746f7c1a3daa9537dfb05c09,cosing,AVENA SATIVA KERNEL FLOUR,AVENA SATIVA KERNEL FLOUR,134134-86-4,Avena sativa,Flour,Powder,Grains,Oat Flour,term:avena sativa kernel,post_merge_term_cluster,1,1,0,cosing
8c14a65005466d53ba98f4d11e742f9490fcc70b,cosing,AVENA SATIVA KERNEL MEAL,AVENA SATIVA KERNEL MEAL,84012-26-0,Avena sativa,Meal,Powder,Herbs,Oat,term:avena sativa kernel,post_merge_term_cluster,1,1,0,cosing
4d3a54c9969f431284b08250931502bacb12fea8,cosing,AVENA SATIVA KERNEL OIL,AVENA SATIVA KERNEL OIL,84012-26-0,Avena sativa,Kernel Oil,Oil,Seeds,Oat,term:avena sativa kernel,post_merge_term_cluster,1,1,0,cosing
6313cd5be66a7c81e9e9e4a2db4582dda4588306,cosing,AVENA SATIVA KERNEL PROTEIN,AVENA SATIVA KERNEL PROTEIN,134134-87-5,Avena sativa,Protein,Solid,Herbs,Oat Kernel Protein,term:avena sativa kernel,post_merge_term_cluster,1,1,0,cosing
a7a04b12e6e47b511440c3517332a55ac8b2b052,tgsc,"avena sativa kernel extract,",,84012-26-0,Avena sativa,Kernel Extract,Liquid,Herbs,Oat,term:avena sativa kernel,post_merge_term_cluster,1,1,0,cosing
854c0b0a2124d1b637a2c8c803531609097fee94,cosing,GLYCINE SOJA EXTRACT,GLYCINE SOJA EXTRACT,84776-91-0,Glycine soja,Extract,Liquid,Herbs,Soybean,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
d7a1ca89c780cddf52714c87bc42742e6968f0dc,cosing,GLYCINE SOJA FLOUR,GLYCINE SOJA FLOUR,68513-95-1,Glycine soja,Flour,Powder,Grains,Glycine soja,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
a81508c2d18ed9ec71252b824f197942c49b706a,cosing,GLYCINE SOJA OIL,GLYCINE SOJA OIL,8001-22-7,Glycine soja,Oil,Oil,Herbs,Soybean,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
6f642dac273b6408e97b457bc0210f062f560b9c,cosing,GLYCINE SOJA OIL UNSAPONIFIABLES,GLYCINE SOJA OIL UNSAPONIFIABLES,91770-67-1,Glycine soja,Unsaponifiables,Oil,Herbs,Glycine Soja Oil Unsaponifiables,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
7caf486a9658da42da728a011cd5163b3aa1c031,cosing,GLYCINE SOJA SEED,GLYCINE SOJA SEED,,Glycine soja,Seed,Whole,Herbs,Glycine soja,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
61dccc716879700537388385e76f9b7eff6957c7,cosing,GLYCINE SOJA SEED EXTRACT,GLYCINE SOJA SEED EXTRACT,,Glycine soja,Seed Extract,Liquid,Herbs,Glycine soja,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
6b7499813b59d3d7b84bbf620a300567d17bec8b,cosing,GLYCINE SOJA SEED POWDER,GLYCINE SOJA SEED POWDER,,Glycine soja,Seed Powder,Powder,Herbs,Glycine soja,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
755b7cfe1827c75b0629ba0b6ea41879adafd219,cosing,GLYCINE SOJA SEED WATER,GLYCINE SOJA SEED WATER,,Glycine soja,Hydrosol,Hydrosol,Herbs,Glycine soja,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
cc279eadcbfcb3bac6b4a27c20bbb8437e6604ad,tgsc,"glycine soja oil unsaponifiables,",,91770-67-1,Glycine soja,Unsaponifiables,Oil,Herbs,Glycine Soja Oil Unsaponifiables,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
0a39e269790fad0ba02a7886c9d1f4d4bc59fa5c,tgsc,"glycine soja seed oil,",,8001-22-7,Glycine soja,Seed Oil,Oil,Seeds,Soybean,term:glycine soja,post_merge_term_cluster,1,1,0,cosing
0c4c881ec205e5c38ba6a534af6796d4f999d02b,cosing,HELIANTHUS ANNUUS CALLUS CONDITIONED MEDIA,HELIANTHUS ANNUUS CALLUS CONDITIONED MEDIA,,Helianthus annuus,Conditioned Media,Liquid,Fermentation - Other,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
75dc390929003eb6d986c98f61482ad3e7fec55e,cosing,HELIANTHUS ANNUUS CALLUS CULTURE EXTRACT,HELIANTHUS ANNUUS CALLUS CULTURE EXTRACT,,Helianthus annuus,Callus Culture,Liquid,Fermentation - Other,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
43d94a1aa344fdcc080ae0f716e245d97adbf380,cosing,HELIANTHUS ANNUUS EXTRACT,HELIANTHUS ANNUUS EXTRACT,84776-03-4,Helianthus annuus,Extract,Liquid,Herbs,Helianthus Annuus Seed Butter,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
35d3d97260bbf7960b0a34a6233b19ca9fc2d300,cosing,HELIANTHUS ANNUUS FLOWER,HELIANTHUS ANNUUS FLOWER,,Helianthus annuus,Flower,Whole,Herbs,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
cfe8650bd63980097952fe64bf8f905e2377b306,cosing,HELIANTHUS ANNUUS FLOWER EXTRACT,HELIANTHUS ANNUUS FLOWER EXTRACT,84776-03-4,Helianthus annuus,Flower Extract,Liquid,Herbs,Helianthus Annuus Seed Butter,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
80a45532620464754f42749de04deb17b31abb07,cosing,HELIANTHUS ANNUUS HYBRID OIL,HELIANTHUS ANNUUS HYBRID OIL,164250-88-8,Helianthus annuus,Oil,Oil,Herbs,Helianthus Annuus Hybrid,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
