Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth.login,90,0,2900.0,5359.386888299883,387.90537100067013,28715.80692200223,233.0,0.3006373582851274,0.0,3800,5800,7200,9000,13000,19000,25000,29000,29000,29000,29000
GET,auth.login.page,90,0,1900.0,3705.341853944548,423.8331249980547,41899.14235899778,32159.0,0.3006373582851274,0.0,2000,3300,4200,4800,7500,10000,39000,42000,42000,42000,42000
GET,auth.login.redirect,90,0,10000.0,12654.042011855807,4100.447296001221,41522.408816999814,60790.311111111114,0.3006373582851274,0.0,10000,13000,15000,19000,24000,28000,37000,42000,42000,42000,42000
GET,batches.list,42,0,12000.0,13155.256744642902,4524.63940799862,29365.792693999538,32773.0,0.1402974338663928,0.0,12000,14000,17000,19000,25000,26000,29000,29000,29000,29000,29000
GET,bootstrap.inventory.api,355,1,3400.0,5008.402136901471,126.00607800050057,30085.041450998688,234.45352112676056,1.1858473576802249,0.003340415092056971,3400,5300,6900,8400,12000,14000,19000,20000,30000,30000,30000
GET,bootstrap.products,343,0,11000.0,11977.772372005811,1762.4993330027792,50816.49160199959,38057.38192419825,1.1457623765755411,0.0,11000,14000,16000,17000,21000,26000,30000,32000,51000,51000,51000
GET,bootstrap.recipe_library,360,0,5900.0,7216.227606077767,1831.9698830018751,33038.73837500214,41453.0,1.2025494331405095,0.0,5900,7800,9100,10000,13000,17000,23000,28000,33000,33000,33000
GET,bootstrap.recipes,377,0,11000.0,12600.19578009029,2021.2466619996121,46165.99438400226,32983.20954907162,1.2593364897054782,0.0,11000,14000,17000,18000,22000,25000,32000,36000,46000,46000,46000
GET,dashboard,70,0,5800.0,7819.234446271363,1839.8549350022222,20659.142484000768,40572.0,0.233829056443988,0.0,6000,8600,11000,13000,16000,18000,18000,21000,21000,21000,21000
GET,expiration.summary,72,0,3000.0,4538.887186124913,127.63975599955302,20558.70217100164,53.0,0.24050988662810194,0.0,3000,4700,7100,7600,9100,13000,20000,21000,21000,21000,21000
GET,global.items,56,0,8500.0,10621.950020999846,2149.613779001811,31769.033574997593,97418.26785714286,0.18706324515519038,0.0,8500,11000,14000,15000,20000,27000,29000,32000,32000,32000,32000
POST,inventory.adjust.restock,37,0,12000.0,12453.191149838047,2669.680364000669,26158.212692000234,40793.0,0.12359535840610794,0.0,12000,15000,16000,17000,19000,25000,26000,26000,26000,26000,26000
POST,inventory.adjust.spoil,49,0,11000.0,11321.474324326637,3122.8007409990823,26061.765709997417,40793.0,0.16368033951079158,0.0,11000,13000,14000,17000,20000,21000,26000,26000,26000,26000,26000
POST,inventory.adjust.trash,47,0,10000.0,12015.20791314892,3311.9277480000164,29809.463964000315,40793.0,0.15699950932667764,0.0,10000,15000,16000,18000,24000,27000,30000,30000,30000,30000,30000
GET,inventory.list,109,0,17000.0,18121.298692972396,3133.0301679990953,71536.85263800071,40791.0,0.3641052450342099,0.0,17000,20000,22000,23000,31000,36000,43000,58000,72000,72000,72000
GET,inventory.view,102,0,5700.0,6979.876815019705,1996.6782700030308,33235.90427599993,79714.35294117648,0.34072233938981106,0.0,5800,6800,8100,9000,14000,16000,22000,25000,33000,33000,33000
GET,products.list,47,0,11000.0,12171.796898851406,2487.5133950008603,33155.42805299992,38050.0,0.15699950932667764,0.0,11000,14000,14000,15000,23000,25000,33000,33000,33000,33000,33000
GET,public.global_items,63,0,4000.0,5553.195505714461,258.3744180010399,25173.838473001524,96208.11111111111,0.2104461507995892,0.0,4000,5800,7200,7900,12000,15000,23000,25000,25000,25000,25000
GET,public.homepage,82,0,2400.0,3810.9504139636383,220.1621439999144,21114.578149001318,36916.0,0.27391403754867166,0.0,2600,3900,5000,6200,8000,12000,17000,21000,21000,21000,21000
GET,public.recipe_library,43,0,3700.0,4678.190861790892,212.49490499758394,15920.121711002139,37621.0,0.14363784895844978,0.0,3700,4700,5700,7600,14000,14000,16000,16000,16000,16000,16000
GET,public.signup,16,0,2900.0,5582.739872312914,603.1223240024701,29993.95322000055,46375.0,0.05344664147291154,0.0,3300,3600,8000,8000,16000,30000,30000,30000,30000,30000,30000
GET,public.tools,79,0,3600.0,4663.646016202508,246.1979899999278,24467.121022000356,37182.0,0.26389279227250073,0.0,3600,5300,5700,7100,10000,14000,17000,24000,24000,24000,24000
GET,recipes.import,14,0,6500.0,9326.338700215534,2857.007947000966,19259.49769300132,82162.0,0.046765811288797594,0.0,7400,13000,15000,16000,17000,19000,19000,19000,19000,19000,19000
GET,recipes.library.detail,14,0,4600.0,6343.694287571582,3064.8849370008975,15857.329435002612,36750.0,0.046765811288797594,0.0,4900,5500,6500,12000,13000,16000,16000,16000,16000,16000,16000
GET,recipes.library.list,20,0,5100.0,6337.256060500113,1737.7295379992574,15626.025502999255,40348.45,0.06680830184113942,0.0,5300,8000,8400,9000,14000,16000,16000,16000,16000,16000,16000
GET,recipes.list,55,0,10000.0,12570.76071487265,2373.9166220002517,43773.128876000555,32963.0,0.18372283006313342,0.0,10000,13000,17000,17000,24000,31000,36000,44000,44000,44000,44000
,Aggregated,2722,1,7100.0,8967.27382702504,126.00607800050057,71536.85263800071,35642.07347538575,9.092609880579076,0.003340415092056971,7100,10000,13000,14000,19000,23000,29000,32000,51000,72000,72000
