Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth.login.page,3475,3475,2100.0,2299.761973828467,94.93423100502696,4623.835695005255,10.071654676258992,1.9305560073975014,1.9305560073975014,2100,3400,4100,4200,4300,4400,4500,4600,4600,4600,4600
GET,public.global_items,7525,7525,8,15.630783260128139,5.077494992292486,4391.734828008339,9.0,4.180556534004661,4.180556534004661,8,9,10,11,13,18,30,76,2800,4400,4400
GET,public.homepage,9922,9922,8,15.239892337527905,5.289224005537108,4347.492953995243,9.0,5.51222351234475,5.51222351234475,8,9,10,10,12,16,26,51,3000,4300,4300
GET,public.recipe_library,5041,5041,8,15.310903963638147,5.312413006322458,4223.288437991869,9.0,2.8005562110189364,2.8005562110189364,8,9,10,10,13,17,28,66,1500,4200,4200
GET,public.signup,2522,2522,8,21.569974757146344,5.665371994837187,4269.007975002751,9.0,1.4011114390378412,1.4011114390378412,8,9,10,10,12,17,34,110,4300,4300,4300
GET,public.tools,7480,7480,8,18.084761092782394,5.405256990343332,4324.247081007343,9.0,4.15555652815347,4.15555652815347,8,9,10,10,13,17,29,84,3000,4300,4300
,Aggregated,35965,35965,9,237.1016396788971,5.077494992292486,4623.835695005255,9.103545113304602,19.98056023195716,19.98056023195716,9,10,11,12,150,2100,4200,4300,4600,4600,4600
